names,orig_title,release_date,score_num,revenue_num,budget_num,genre,overview,crew,status,orig_lang,country
"Fantastic Beasts: The Secrets of Dumbledore","Fantastic Beasts: The Secrets of Dumbledore",2022-04-07,68.0,404560145,200000000,"Fantasy, Adventure, Family","Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.","Eddie Redmayne, Newt Scamander, Jude Law, Albus Dumbledore, Mads Mikkelsen, Gellert Grindelwald, Ezra Miller, Credence Barebone / Aurelius Dumbledore, Dan Fogler, Jacob Kowalski, Alison Sudol, Queenie Goldstein / Queenie Kowalski, Callum Turner, Theseus Scamander, Jessica Williams, Eulalie 'Lally' Hicks, Katherine Waterston, Porpentina 'Tina' Goldstein"," Released"," English",AU
"Zack Snyder's Justice League","Zack Snyder's Justice League",2021-03-18,82.0,136635234,70000000,"Action, Adventure, Fantasy, Science Fiction","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","Ben Affleck, Bruce Wayne / Batman, Henry Cavill, Clark Kent / Superman / Kal-El, Gal Gadot, Diana Prince / Wonder Woman, Jason Momoa, Arthur Curry / Aquaman, Ezra Miller, Barry Allen / The Flash, Ray Fisher, Victor Stone / Cyborg, Amy Adams, Lois Lane, Jeremy Irons, Alfred Pennyworth, Connie Nielsen, Queen Hippolyta"," Released"," English",AU
"The Flash","The Flash",2023-06-16,NULL,1240262,200000000,"Science Fiction, Action, Adventure","The Flash travels through time to prevent the murder of his mother, but unwittingly causes changes that result in the creation of a multiverse.","Ezra Miller, Barry Allen / The Flash, Sasha Calle, Kara Zor-El / Supergirl, Michael Shannon, General Zod, Ron Livingston, Henry Allen, Maribel Verdú, Nora Allen, Kiersey Clemons, Iris West, Antje Traue, Faora-Ul, Michael Keaton, Bruce Wayne / Batman, Ben Affleck, Bruce Wayne / Batman"," Post Production"," English",US
"Justice League","Justice League",2017-11-16,61.0,655945209,300000000,"Action, Adventure, Science Fiction","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.","Ben Affleck, Batman / Bruce Wayne, Henry Cavill, Superman / Clark Kent /  Kal-El, Amy Adams, Lois Lane, Gal Gadot, Wonder Woman / Diana Prince, Ezra Miller, The Flash / Barry Allen, Jason Momoa, Aquaman / Arthur Curry, Ray Fisher, Cyborg / Victor Stone, Jeremy Irons, Alfred Pennyworth, Diane Lane, Martha Kent"," Released"," English",AU
"Fantastic Beasts: The Crimes of Grindelwald","Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,"Fantasy, Adventure, Family","Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause-elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.","Eddie Redmayne, Newt Scamander, Katherine Waterston, Porpentina 'Tina' Goldstein, Dan Fogler, Jacob Kowalski, Alison Sudol, Queenie Goldstein, Johnny Depp, Gellert Grindelwald, Jude Law, Albus Dumbledore, Ezra Miller, Credence Barebone, Zoë Kravitz, Leta Lestrange, Callum Turner, Theseus Scamander"," Released"," English",AU
"Asking For It","Asking For It",2022-03-04,58.0,195076280,104300000,"Action, Thriller, Drama","After small town waitress Joey is sexually assaulted after a date with her old friend Mike, she befriends mysterious stranger Regina. Regina introducers her to The Cherry Bombers, an all femme gang including Beatrice, Lily, Sal, Jett, Angie, and Fala. All suffering from past traumas, together they fight a misogynistic society by targeting violent frat boys, a corrupt police force of human traffickers led by Sheriff Morel, and the dangerous alt-right group MFM (Men's First Movement) headed by Mark Vanderhill. As Joey is drawn further into their chaotic world, Sal's old flame, Logan County Sheriff Vernon, investigates MFM, leading to a thrilling showdown.","Kiersey Clemons, Joey, Alexandra Shipp, Regina, Vanessa Hudgens, Beatrice, Radha Mitchell, Sal, Ezra Miller, Mark Vanderhill, Luke Hemsworth, Sheriff Vernon, Leyna Bloom, Jett, Leslie Stratton, Lily, Lisa Yaro, Angie"," Released"," English",US
"The Perks of Being a Wallflower","The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,Drama,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.","Logan Lerman, Charlie, Emma Watson, Sam, Ezra Miller, Patrick, Mae Whitman, Mary Elizabeth, Kate Walsh, Mother, Dylan McDermott, Father, Melanie Lynskey, Aunt Helen, Nina Dobrev, Candace, Johnny Simmons, Brad"," Released"," English",AU
Trainwreck,Trainwreck,2015-07-30,58.0,141123897,35000000,"Comedy, Romance","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.","Amy Schumer, Amy Townsend, Bill Hader, Aaron Conners, Brie Larson, Kim Townsend, Colin Quinn, Gordon Townsend, John Cena, Steven, Vanessa Bayer, Nikki, Mike Birbiglia, Tom, Ezra Miller, Donald, Dave Attell, Noam"," Released"," English",AU
"We Need to Talk About Kevin","We Need to Talk About Kevin",2011-11-17,76.0,10765283,7000000,"Drama, Thriller","After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.","Tilda Swinton, Eva Khatchadourian, Ezra Miller, Kevin Khatchadourian, Teenager, John C. Reilly, Franklin Khatchadourian, Jasper Newell, Kevin Khatchadourian, 6-8 Years, Rock Duer, Kevin Khatchadourian, Toddler, Ashley Gerasimovich, Celia Khatchadourian, Siobhan Fallon Hogan, Wanda, Alex Manette, Colin, Kenneth Franklin, Soweto"," Released"," English",AU
"The Stanford Prison Experiment","The Stanford Prison Experiment",2015-07-17,69.0,643557,57600000,Thriller,"This film is based on the actual events that took place in 1971 when Stanford professor Dr. Philip Zimbardo created what became one of the most shocking and famous social experiments of all time.","Billy Crudup, Dr. Philip Zimbardo, Michael Angarano, Christopher Archer, Ezra Miller, Daniel Culp / Prisoner 8612, Tye Sheridan, Peter Mitchell / Prisoner 819, Olivia Thirlby, Dr. Christina Maslach, Nelsan Ellis, Jesse Fletcher, Moisés Arias, Anthony Carroll, Nicholas Braun, Karl Vandy, Gaius Charles, Paul Vogel"," Released"," English",US
