orig_title,release_date,score_num,total_revenue,budget_num,revenue_date,daily_revenue,theaters,distributor,days_since_release,release_week
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-22,23456,288,"Warner Bros.",61,9
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-02-03,24214,189,"Warner Bros.",73,11
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-01-25,8983,56,Lionsgate,57,9
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-03,1330725,2960,"Universal Pictures",4,1
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-21,66663,288,"Warner Bros.",60,9
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-11-28,1392362,4163,"Warner Bros.",6,1
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-12-13,17063,175,Lionsgate,14,3
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-12-07,43396,175,Lionsgate,8,2
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-02-13,5146,149,"Warner Bros.",83,12
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-01-16,6614,100,Lionsgate,48,7
"Justice League",2017-11-16,61.0,655945209,300000000,2018-03-10,13621,62,"Warner Bros.",114,17
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-23,613260,1333,"Universal Pictures",24,4
"Justice League",2017-11-16,61.0,655945209,300000000,2018-03-07,3312,101,"Warner Bros.",111,16
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-02-20,5220,104,"Warner Bros.",90,13
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-05,160218,518,"Warner Bros.",50,8
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-27,46486,212,"Warner Bros.",66,10
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-12-12,593524,3451,"Warner Bros.",20,3
"Justice League",2017-11-16,61.0,655945209,300000000,2018-02-11,53243,188,"Warner Bros.",87,13
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-12-20,16025,125,Lionsgate,21,4
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-12-13,538650,3451,"Warner Bros.",21,4
"Justice League",2017-11-16,61.0,655945209,300000000,2018-02-23,19687,137,"Warner Bros.",99,15
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-04,136477,1215,"Warner Bros.",49,8
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-12-02,3263348,3851,"Warner Bros.",10,2
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-01-17,7001,100,Lionsgate,49,8
"Justice League",2017-11-16,61.0,655945209,300000000,2017-12-03,4666820,3820,"Warner Bros.",17,3
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-16,23804,275,"Warner Bros.",55,8
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-09-29,18010,240,"Universal Pictures",61,9
"Justice League",2017-11-16,61.0,655945209,300000000,2017-12-14,562701,3508,"Warner Bros.",28,5
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-01-05,33381,98,Lionsgate,37,6
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-11-30,3077332,3851,"Warner Bros.",8,2
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-09-02,141200,957,"Universal Pictures",34,5
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-07,52212,401,"Warner Bros.",46,7
"Justice League",2017-11-16,61.0,655945209,300000000,2017-11-19,22690920,4051,"Warner Bros.",3,1
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-10-10,25715,103,"Universal Pictures",72,11
"Justice League",2017-11-16,61.0,655945209,300000000,2018-02-06,16505,202,"Warner Bros.",82,12
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-02-10,22644,149,"Warner Bros.",80,12
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-15,1638360,1998,"Universal Pictures",16,3
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-11-29,1365886,4163,"Warner Bros.",7,2
"Justice League",2017-11-16,61.0,655945209,300000000,2017-12-17,1368273,2702,"Warner Bros.",31,5
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-01-27,7707,56,Lionsgate,59,9
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-24,253270,1333,"Universal Pictures",25,4
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-14,1178820,1998,"Universal Pictures",15,3
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-31,20441,244,"Warner Bros.",76,11
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-07,147362,518,"Warner Bros.",52,8
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-02-03,2216,37,Lionsgate,66,10
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-08,2587600,2525,"Universal Pictures",9,2
"Justice League",2017-11-16,61.0,655945209,300000000,2018-02-09,37022,188,"Warner Bros.",85,13
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-09-17,59040,738,"Universal Pictures",49,8
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-09,53206,518,"Warner Bros.",54,8
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-12-04,19783,189,Lionsgate,5,1
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-20,79012,288,"Warner Bros.",59,9
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-10-08,9365,144,"Universal Pictures",70,11
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-12-17,14364,125,Lionsgate,18,3
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-10-02,26640,144,"Universal Pictures",64,10
"Justice League",2017-11-16,61.0,655945209,300000000,2017-11-20,7508311,4051,"Warner Bros.",4,1
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-09-06,569640,808,"Universal Pictures",38,6
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-10,40350,518,"Warner Bros.",55,8
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2013-01-06,20294,98,Lionsgate,38,6
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-03,151068,515,"Warner Bros.",42,7
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-27,142562,244,"Warner Bros.",72,11
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-09-25,51615,240,"Universal Pictures",57,9
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-02-07,9286,189,"Warner Bros.",77,12
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-26,71368,244,"Warner Bros.",71,11
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-20,409625,1998,"Universal Pictures",21,4
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-12-02,50819,189,Lionsgate,3,1
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-10-06,10825,144,"Universal Pictures",68,10
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-08-26,238125,1333,"Universal Pictures",27,4
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2018-12-14,1022480,2606,"Warner Bros.",22,4
"Justice League",2017-11-16,61.0,655945209,300000000,2017-12-08,2539306,3508,"Warner Bros.",22,4
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-11-29,29293,242,Lionsgate,0,1
"Justice League",2017-11-16,61.0,655945209,300000000,2018-02-21,8993,144,"Warner Bros.",97,14
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-07-31,2930400,2960,"Universal Pictures",1,1
"Justice League",2017-11-16,61.0,655945209,300000000,2017-12-09,4370008,3508,"Warner Bros.",23,4
Trainwreck,2015-07-30,58.0,141123897,35000000,2015-09-03,141820,957,"Universal Pictures",35,6
"Fantastic Beasts: The Crimes of Grindelwald",2018-11-22,69.0,648455339,200000000,2019-01-09,46246,401,"Warner Bros.",48,7
"The Perks of Being a Wallflower",2012-11-29,78.0,33069303,13000000,2012-11-30,67431,189,Lionsgate,1,1
"Justice League",2017-11-16,61.0,655945209,300000000,2018-01-28,92858,244,"Warner Bros.",73,11
