tmdb_id,title,release_year,release_date,genres,character,budget_usd,revenue_usd,runtime_min,vote_average,vote_count,popularity,era
29463,Krush Groove,1985.0,1985-10-25,"Comedy, Drama, Music",Person Standing Next to Club Phone During Fight (uncredited),3000000,11000000,97,6.313,48,0.9975,before_2022
96,Beverly Hills Cop II,1987.0,1987-05-18,"Action, Comedy, Crime",Parking Valet,28000000,299965036,103,6.529,2811,4.6581,before_2022
368216,Uptown Comedy Express,1987.0,1987-05-09,"Comedy, Documentary, TV Movie",,,,60,7.0,1,0.3309,before_2022
70770,Comedy's Dirtiest Dozen,1988.0,1988-06-12,Comedy,Self,,,90,5.938,8,0.3785,before_2022
17006,I'm Gonna Git You Sucka,1988.0,1988-11-10,"Comedy, Action, Crime",Rib Joint Customer,3000000,13000000,88,6.355,211,1.7605,before_2022
1215424,Slammin' Rap Video Magazine Vol. 1,1990.0,1990-01-01,,Self,,,58,0.0,0,0.3878,before_2022
10952,New Jack City,1991.0,1991-03-08,"Thriller, Crime, Drama",Pookie,8500000,47624253,101,6.683,592,2.3957,before_2022
11066,Boomerang,1992.0,1992-06-28,"Comedy, Romance",Bony T,40000000,131052444,117,5.661,624,3.2355,before_2022
15278,CB4,1993.0,1993-03-12,"Comedy, Music",Albert / MC Gusto,6000000,17953778,88,6.014,143,2.151,before_2022
54108,Chris Rock: Big Ass Jokes,1994.0,1994-06-16,Comedy,Self,,,27,7.045,22,1.002,before_2022
41478,Panther,1995.0,1995-05-03,"Drama, History",Yuck Mouth,,6834525,124,6.267,45,2.0736,before_2022
29231,The Immortals,1995.0,1995-10-05,"Action, Crime, Drama, Thriller",Deke,50,83,98,5.632,34,0.7943,before_2022
18128,Chris Rock: Bring the Pain,1996.0,1996-06-01,Comedy,Self,,,58,7.175,80,1.1481,before_2022
9099,Sgt. Bilko,1996.0,1996-03-29,Comedy,1LT Oster,39000000,37956793,90,5.897,393,2.3711,before_2022
9622,Beverly Hills Ninja,1997.0,1997-01-17,"Comedy, Action",Joey,18000000,31480022,88,5.647,841,3.3155,before_2022
341949,Sesame Street: Elmopalooza!,1998.0,1998-02-20,"Family, Music, TV Movie",Self,,,45,6.5,6,1.6825,before_2022
1071257,Kids Are Punny,1998.0,1998-12-06,"Comedy, Family, Animation, TV Movie",Self (voice),,,30,6.3,3,0.4647,before_2022
