tmdb_id,title,release_year,release_date,character,budget,revenue,runtime_min,vote_average,vote_count,popularity,profit
1084242,Zootopia 2,2025,2025-11-26,Zeke AKA That Dik-Dik Stuck in that Tuba (voice),150000000.0,1868208796.0,108,7.613,2675,94.7368,1718208796.0
760329,The Smashing Machine,2025,2025-10-01,Mark Kerr,50000000.0,21133481.0,123,6.427,567,4.815,-28866519.0
1241982,Moana 2,2024,2024-11-21,Maui (voice),150000000.0,1059242164.0,100,6.999,3043,23.5578,909242164.0
845781,Red One,2024,2024-10-31,Callum Drift,250000000.0,185700759.0,124,6.987,3022,9.519,-64299241.0
385687,Fast X,2023,2023-05-17,Luke Hobbs (uncredited),340000000.0,704709660.0,142,6.997,6284,18.8053,364709660.0
1139087,Once Upon a Studio,2023,2023-09-24,Maui (voice),,,9,8.265,425,6.3211,
436270,Black Adam,2022,2022-10-19,Black Adam / Teth Adam,200000000.0,393452111.0,125,6.81,6989,16.4731,193452111.0
539681,DC League of Super-Pets,2022,2022-07-27,Krypto the Superdog / Anubis / Black Adam (voice),90000000.0,203000000.0,105,7.154,1720,5.3372,113000000.0
451048,Jungle Cruise,2021,2021-07-28,Frank Wolff,200000000.0,220889446.0,127,7.295,6143,7.4986,20889446.0
512195,Red Notice,2021,2021-11-04,John Hartley,160000000.0,178143.0,118,6.733,6401,7.6645,-159821857.0
550988,Free Guy,2021,2021-08-11,Bank Robber #2 (voice),110000000.0,331526598.0,115,7.45,9754,15.8551,221526598.0
445629,Fighting with My Family,2019,2019-02-14,Dwayne 'The Rock' Johnson,11000000.0,39055536.0,108,6.847,1870,2.6392,28055536.0
384018,Fast & Furious Presents: Hobbs & Shaw,2019,2019-07-31,Luke Hobbs,200000000.0,760098996.0,137,6.831,7725,10.3393,560098996.0
512200,Jumanji: The Next Level,2019,2019-12-04,Dr. Smolder Bravestone,125000000.0,801693929.0,123,6.874,9319,10.0232,676693929.0
427641,Rampage,2018,2018-04-11,Davis Okoye,120000000.0,428028233.0,107,6.446,7479,8.1844,308028233.0
447200,Skyscraper,2018,2018-07-11,Will Sawyer,125000000.0,304870828.0,102,6.308,5331,4.2205,179870828.0
337339,The Fate of the Furious,2017,2017-04-12,Luke Hobbs,250000000.0,1236000000.0,136,6.855,10784,7.9424,986000000.0
353486,Jumanji: Welcome to the Jungle,2017,2017-12-09,Dr. Smolder Bravestone,90000000.0,995339117.0,119,6.817,14430,7.3547,905339117.0
339846,Baywatch,2017,2017-05-25,Mitch Buchanan,69000000.0,177900000.0,116,6.084,8480,8.4168,108900000.0
