"query","search interest","increase percent"
"barbie movie 2023",32,"Breakout"
"barbie 2023",31,"Breakout"
"oppenheimer",14,"Breakout"
"oppenheimer movie",13,"Breakout"
"barbie movie 2023 release date",3,"Breakout"
"barbie movie release date 2023",3,"Breakout"
"new barbie movie 2023",2,"Breakout"
"barbie movie 2022",2,"Breakout"
"dua lipa",1,"Breakout"
"dua lipa barbie movie",1,"Breakout"
"trans barbie movie",1,"Breakout"
"barbie movie cast 2023",1,"Breakout"
"sound of freedom",1,"Breakout"
"america ferrera",1,"Breakout"
"hari nef",1,"Breakout"
"mission impossible",1,"Breakout"
"barbie movie merch",1,"Breakout"
"barbie movie streaming date",1,"Breakout"
"kate mckinnon",1,"Breakout"
"barbie movie trailer 2023",1,"Breakout"
"elemental",1,"Breakout"
"ryan gosling",5,"Breakout"
"ariana greenblatt",1,"Breakout"
"oppenheimer showtimes",1,"Breakout"
"oppenheimer release date",1,"Breakout"
"margot robbie movies",1,"Breakout"
"mission impossible 7",0,"Breakout"
"michael cera",0,"Breakout"
"emma mackey",0,"Breakout"
"margot robbie",8,"Breakout"
"barbie movie margot robbie",8,"Breakout"
"simu liu",0,"Breakout"
"ryan gosling movies",0,"Breakout"
"rhea perlman",0,"Breakout"
"greta gerwig",2,"Breakout"
"margot robbie barbie movie",8,"Breakout"
"margot robbie barbie",8,"Breakout"
"oppenheimer rotten tomatoes",0,"Breakout"
"when does the barbie movie come out 2023",0,"Breakout"
"what is the new barbie movie rated",0,"Breakout"
"cillian murphy",0,"Breakout"
"killers of the flower moon",0,"Breakout"
"barbenheimer",0,"Breakout"
"how much did barbie movie make",1,"4,350%"
"barbie movie runtime",1,"2,700%"
"ruth barbie movie",3,"2,350%"
"barbie movie age rating",1,"2,250%"
"how long is barbie movie",8,"2,150%"
"barbie movie rating age",1,"2,050%"
"how long is the barbie movie",6,"2,050%"
