release_year,avgBudget,avgRevenue,avgVote,avgPopularity,avgProfits
2001,98000000,443280904,6,13,345280904
2002,60000000,165333180,6,4,105333180
2003,85000000,80900000,6,3,-4100000
2004,46000000,57223888,6,4,11223888
2005,56500000,76650000,5,4,20150000
2006,30000000,41500000,7,4,11500000
2007,16333333,56199149,6,3,39865816
2008,80000000,230685453,6,6,150685453
2009,60000000,105666453,6,3,45666453
2010,42400000,79741100,6,4,37341100
2011,125000000,626100000,7,1,501100000
2012,79000000,355692760,6,6,276692760
2013,72200000,258895071,6,3,186695071
2014,100000000,244819862,6,12,144819862
2015,101666667,663908172,6,7,562241505
2016,100000000,453916508,7,5,353916508
2017,136333333,803079706,7,8,666746372
2018,122500000,366449530,6,6,243949530
2019,112000000,533616154,7,8,421616154
2021,180000000,110533794,7,8,-69466206
2022,145000000,298226056,7,11,153226056
2024,200000000,622471462,7,17,422471462
2025,100000000,944671138,7,50,844671138
