Year,vote_average,revenue,budget
1959,0,0,0
1993,6.219,418961,1500000
1996,4.636,0,0
1997,7.501,252712101,85000000
2001,6.358,443280904,98000000
2002,5.6,165333180,60000000
2003,6.444,80916492,85000000
2004,6.317,57223888,46000000
2005,5.109,58072119,60000000
2005,5.44,95226116,53000000
2006,7.02,41480851,30000000
2007,5.113,374743,17000000
2007,6.478,147880543,22000000
2008,6.17,230685453,80000000
2009,5.851,104945765,70000000
2009,5.813,106303988,50000000
2010,5.481,112462508,48000000
2010,6.294,170432927,100000000
2010,6.316,23081726,24000000
2011,7.251,626137675,125000000
2012,6.145,355692760,79000000
2013,6.243,87305549,25000000
2013,5.073,80900000,85000000
2013,6.817,788680968,160000000
2013,6.081,42930462,35000000
2013,5.609,371876278,130000000
2013,5.351,3639345,11000000
2015,6.229,473990832,110000000
2015,7.238,1515341399,190000000
2016,6.41,216972543,50000000
2016,7.6,690860472,150000000
2017,6.092,177856751,69000000
2017,6.827,961600000,90000000
2017,6.887,1236005118,250000000
2018,6.318,292351275,125000000
2018,6.451,428028233,120000000
2019,6.931,801693929,125000000
2019,6.867,760098996,200000000
2019,6.859,39055536,11000000
2021,6.803,0,200000000
2021,7.418,220889446,200000000
