"query","search interest","increase percent"
"minecraft movie 2025",8,"Breakout"
"minecraft movie box office",6,"Breakout"
"minecraft movie near me",5,"Breakout"
"minecraft movie where to watch",4,"Breakout"
"chicken jockey",4,"Breakout"
"minecraft movie chicken jockey",4,"Breakout"
"jack black minecraft movie",4,"Breakout"
"chicken jockey minecraft movie",4,"Breakout"
"jack black",4,"Breakout"
"minecraft movie meal",3,"Breakout"
"jason momoa",3,"Breakout"
"jason momoa minecraft movie",3,"Breakout"
"minecraft movie jason momoa",3,"Breakout"
"alex minecraft movie",2,"Breakout"
"minecraft movie villager",2,"Breakout"
"snow white",2,"Breakout"
"live action minecraft movie",2,"Breakout"
"technoblade",2,"Breakout"
"technoblade minecraft movie",2,"Breakout"
"minecraft movie budget",2,"Breakout"
"when did minecraft movie come out",2,"Breakout"
"cinemark",2,"Breakout"
"minecraft movie 2022",2,"Breakout"
"a minecraft movie showtimes",1,"Breakout"
"a minecraft movie cast",1,"Breakout"
"how much did the minecraft movie make",1,"Breakout"
"minecraft movie actors",1,"Breakout"
"where can i watch the minecraft movie",1,"Breakout"
"sonic 3",1,"Breakout"
"when did the minecraft movie come out",1,"Breakout"
"jennifer coolidge minecraft movie",1,"Breakout"
"jennifer coolidge",1,"Breakout"
"a minecraft movie box office",1,"Breakout"
"minecraft movie sheep",1,"Breakout"
"minecraft movie imdb",1,"Breakout"
"mcdonalds minecraft movie meal",1,"Breakout"
"jared hess",1,"Breakout"
"minecraft education",1,"Breakout"
"sinners",1,"Breakout"
"how much has the minecraft movie made",1,"Breakout"
"minecraft movie runtime",1,"Breakout"
"movies in theaters",1,"Breakout"
"dog man movie",1,"Breakout"
"movie theaters near me",1,"Breakout"
"minecraft movie popcorn buckets",1,"Breakout"
"when will the minecraft movie come out",1,"Breakout"
"where to stream minecraft movie",1,"Breakout"
"minecraft movie age rating",1,"Breakout"
"minecraft movie post credit scene",1,"Breakout"
"is the minecraft movie a musical",1,"Breakout"
