"query","search interest","increase percent"
"minecraft the movie",100,"-10%"
"the minecraft movie",99,"-10%"
"minecraft movie release",15,"30%"
"minecraft release date",14,"90%"
"minecraft movie release date",13,"90%"
"minecraft cast",13,"110%"
"minecraft movie cast",13,"100%"
"watch minecraft movie",12,"-10%"
"new minecraft movie",10,"-40%"
"minecraft movie trailer",9,"-50%"
"minecraft movie 2025",8,"Breakout"
"minecraft free",8,"-70%"
"movie theater",8,"-50%"
"how long is minecraft movie",8,"950%"
"steve",8,"-6%"
"steve minecraft",8,"-30%"
"minecraft movie theater",8,"-60%"
"minecraft steve",8,"5%"
"steve minecraft movie",7,"-10%"
"minecraft movie steve",7,"-8%"
"how long is the minecraft movie",7,"500%"
"minecraft game",7,"-70%"
"minecraft movie box office",6,"Breakout"
"when does minecraft movie come out",6,"750%"
"minecraft movie near me",5,"Breakout"
"is the minecraft movie out",5,"110%"
"minecraft movie time",5,"-40%"
"minecraft movie showtimes",5,"250%"
"when does the minecraft movie come out",4,"500%"
"minecraft movie reviews",4,"450%"
"amc minecraft movie",4,"60%"
"where to watch minecraft movie",4,"650%"
"lego movie",4,"-90%"
"minecraft movie where to watch",4,"Breakout"
"the minecraft movie cast",4,"60%"
"chicken jockey",4,"Breakout"
"minecraft movie chicken jockey",4,"Breakout"
"amc",4,"350%"
"jack black minecraft movie",4,"Breakout"
"lego minecraft movie",4,"-90%"
"chicken jockey minecraft movie",4,"Breakout"
"jack black",4,"Breakout"
"mario movie",4,"-40%"
"minecraft movie amc",4,"100%"
"sonic movie",3,"110%"
"minecraft movie tickets",3,"600%"
"minecraft movie rating",3,"250%"
"when is minecraft movie coming out",3,"300%"
"what is the minecraft movie on",3,"80%"
"minecraft movie meal",3,"Breakout"
