Movie,Director,"Running time","Actor 1","Actor 2","Actor 3",Genre,Budget,"Box Office","Actors Box Office %","Director Box Office %",Earnings,"Oscar and Golden Globes nominations","Oscar and Golden Globes awards","Release year","IMDb score"
"After Earth","M. Night Shyamalan",100,"Will Smith","Zoë Kravitz","Glenn Morshower",Action,130000000,244000000,16.67,77,114000000,0,0,2013,4.9
"Bad Boys II","Michael Bay",147,"Will Smith","Henry Rollins","Jordi MollÃ ",Action,130000000,273000000,16.67,69.23,143000000,0,0,2003,6.6
Concussion,"Peter Landesman",123,"Will Smith","Eddie Marsan","Albert Brooks",Biography,35000000,60000000,50,0,25000000,0,0,2015,7.1
Focus,"Glenn Ficarra",105,"Will Smith","Adrian Martinez","Gerald McRaney",Comedy,50100000,56000000,16.67,33.33,5900000,0,0,2015,6.6
Hancock,"Peter Berg",102,"Will Smith","Charlize Theron","Eddie Marsan",Action,150000000,624000000,44,33.33,474000000,0,0,2008,6.4
"I Am Legend","Francis Lawrence",104,"Will Smith","Alice Braga","Willow Smith",Thriller,150000000,250000000,33.33,80,100000000,0,0,2007,7.2
"Men in Black 3","Barry Sonnenfeld",106,"Will Smith","Michael Stuhlbarg","Nicole Scherzinger",Action,225000000,624000000,50,71.42,399000000,0,0,2012,6.8
"The Legend of Bagger Vance","Robert Redford",126,"Matt Damon","Will Smith","Charlize Theron",Drama,60000000,39000000,44,40,-21000000,0,0,2000,6.7
"Wild Wild West","Barry Sonnenfeld",106,"Will Smith","Salma Hayek","Bai Ling",Action,170000000,222000000,33.33,71.42,52000000,0,0,1999,4.8
"Enemy of the State","Tony Scott",140,"Will Smith","Jake Busey","Lisa Bonet",Action,90000000,250000000,55.55,41.66,160000000,1,0,1998,7.3
"I Robot","Alex Proyas",115,"Will Smith","Bruce Greenwood","Chi McBride",Action,120000000,347000000,50,60,227000000,1,0,2004,7.1
"Men in Black II","Barry Sonnenfeld",88,"Will Smith","Rosario Dawson","Rip Torn",Action,140000000,441000000,83.33,71.42,301000000,1,0,2002,6.1
"Suicide Squad","David Ayer",123,"Will Smith","Robin Atkin Downes","Ike Barinholtz",Action,175000000,746000000,55.55,71.42,571000000,1,1,2016,6.9
Ali,"Michael Mann",165,"Will Smith","Jada Pinkett Smith","Joe Morton",Biography,107000000,87700000,38.88,33.33,-19300000,2,1,2001,6.8
Hitch,"Andy Tennant",118,"Will Smith","Michael Rapaport","Kevin Sussman",Comedy,70000000,368000000,26.66,66.67,298000000,2,0,2005,6.6
"Seven Pounds","Gabriele Muccino",123,"Will Smith","Rosario Dawson","Madison Pettis",Drama,55000000,168000000,33.33,50,113000000,2,0,2008,7.7
"The Pursuit of Happyness","Gabriele Muccino",117,"Will Smith","Kurt Fuller","James Karen",Biography,55000000,307000000,50,50,252000000,2,0,2006,8
"Independence Day","Roland Emmerich",154,"Will Smith","Adam Baldwin","Mary McDonnell",Action,75000000,817000000,33.33,50,742000000,3,1,1996,6.9
"Men in Black","Barry Sonnenfeld",98,"Will Smith","Rip Torn","Linda Fiorentino",Adventure,90000000,590000000,25,71.42,500000000,5,1,1997,7.3
"Bad Boys","Michael Bay",119,"Will Smith","Tchéky Karyo","Theresa Randle",Action,19000000,86000000,50,69.23,67000000,0,0,1995,6.8
