"Release year","AVG(`Running Time`)",AVG(Budget),"AVG(`Box Office`)",AVG(Earnings),"AVG(`IMDb score`)"
1995,119.0000,19000000.0000,86000000.0000,67000000.0000,6.8
1996,154.0000,75000000.0000,817000000.0000,742000000.0000,6.9
1997,98.0000,90000000.0000,590000000.0000,500000000.0000,7.3
1998,140.0000,90000000.0000,250000000.0000,160000000.0000,7.3
1999,106.0000,170000000.0000,222000000.0000,52000000.0000,4.8
2000,126.0000,60000000.0000,39000000.0000,-21000000.0000,6.7
2001,165.0000,107000000.0000,87700000.0000,-19300000.0000,6.8
2002,88.0000,140000000.0000,441000000.0000,301000000.0000,6.1
2003,147.0000,130000000.0000,273000000.0000,143000000.0000,6.6
2004,115.0000,120000000.0000,347000000.0000,227000000.0000,7.1
2005,118.0000,70000000.0000,368000000.0000,298000000.0000,6.6
2006,117.0000,55000000.0000,307000000.0000,252000000.0000,8
2007,104.0000,150000000.0000,250000000.0000,100000000.0000,7.2
2008,112.5000,102500000.0000,396000000.0000,293500000.0000,7.050000000000001
2012,106.0000,225000000.0000,624000000.0000,399000000.0000,6.8
2013,100.0000,130000000.0000,244000000.0000,114000000.0000,4.9
2015,114.0000,42550000.0000,58000000.0000,15450000.0000,6.85
2016,123.0000,175000000.0000,746000000.0000,571000000.0000,6.9
